Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,New Caledonia,NCL,1.174571017,2.230300235,-1.960593024,-2.0295478,-0.109355383,3.571062107,-1.455762363,0.055313046,-5.020937827,-0.997607643,0.177142842,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,New Zealand,NZL,-0.767406967,-5.768393218,0.046761924,5.185374685,3.730585732,3.200121041,1.988515973,0.719327208,-0.092958119,4.898454584,2.302279837,2.856419472,2.871931133,2.506867004,2.493646679,2.161017439,1.634570437,2.071982666,-1.947239582,-1.128572936,0.401460831,1.475074426,1.686306587,1.909382047,2.105283063,1.653420483,1.462776247,1.437253121,1.524290743,0.57930066
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Nicaragua,NIC,-2.378080149,-2.483575308,-1.878505484,-2.582747556,1.135449154,3.743641931,4.345238131,2.192005465,2.073202051,5.439379123,2.611272808,1.581981809,-0.515149335,1.287031676,4.07723808,2.973677376,2.738080253,3.621787094,1.976214952,-4.681984855,2.892373918,4.764208456,4.9403012,3.405350976,3.278722061,3.295991875,3.080188614,3.156768738,-4.712051831,-5.103263235
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Niger,NER,-4.309942061,-3.483411996,-1.12539563,-2.793211103,-1.366589184,-0.889755284,-3.213350179,-1.803149927,6.318123565,-3.564826076,-4.533605699,3.623725288,1.338057375,-1.347906202,-3.135822013,3.548889451,2.170619108,-0.545362453,3.846700363,-1.742225191,4.602067048,-1.406346266,6.415644393,1.36978213,2.68508978,0.471154424,1.729851533,1.058945166,3.226030307,2.026402986
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Nigeria,NGA,8.877000036,-2.1803679,2.023628588,-4.507149258,-4.310753168,-2.595600776,1.596032681,0.372520439,0.032473526,-1.941105544,2.317774899,3.146424685,12.27613907,4.495155885,6.345040729,3.609660614,3.238342571,3.741687355,3.899943183,5.130161876,5.081874854,2.437007237,1.403508779,3.83236618,3.552162299,0.076961617,-4.052706363,-1.709873092,-0.590389272,-0.263456378
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,North Macedonia,MKD,..,-5.825798766,-5.701098666,-6.490163125,-1.042831546,-1.189790155,0.664419906,1.305718212,2.830100812,3.841473894,4.074050806,-3.473683221,2.233456599,1.888916172,4.376888549,4.502440294,4.963207732,6.299935135,5.29995031,-0.541943605,3.140817721,2.164144173,-0.577169123,2.776257712,3.456748396,3.717656603,2.735853223,0.983736425,2.795615119,3.886552146
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,3.757283316,0.595458059,-9.069360845,-2.69153419,-2.229133624,-6.598961174,-13.27390018,6.961870699,-4.620922764,1.120796497,3.110271267,4.750104326,4.069818527,30.17490099,24.15164944,-18.66358708,-10.34772181
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Norway,NOR,1.582220916,2.594687444,2.978306474,2.234977116,4.458953888,3.616194623,4.496926706,4.715263835,2.015205256,1.316706803,2.537301756,1.559548852,0.900636375,0.319967274,3.356838854,1.928840748,1.578419866,1.934064976,-0.76815344,-2.958585549,-0.54479433,-0.320026519,1.362984873,-0.180216051,0.826056236,0.957500763,0.18505968,1.500180926,0.453550486,0.067992626
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Oman,OMN,-5.149351622,0.99964772,3.496770932,1.608475391,0.866763903,3.112245608,1.307367993,4.351113932,1.10526505,-1.094690219,5.112373655,3.145227232,-2.294363742,-3.78700569,-0.236292802,0.602059373,3.501312332,2.64675892,6.350043702,4.282881719,-4.793398139,-7.531825013,-1.25807375,-2.522385747,-3.573368028,0.444638517,0.119161082,-2.871323812,-0.018356673,-1.163316683
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Pakistan,PAK,1.070266491,1.721644174,4.91447308,-0.812757164,0.768829469,1.90928657,1.700962517,-1.912790951,-0.372285234,0.739013705,1.102322127,0.401431242,-0.031459517,3.486331857,5.169692809,4.244215049,3.699835752,2.6116655,-0.490588214,0.564734298,-0.656496931,0.60228723,1.662633011,2.804256529,3.209994306,3.382018952,4.263753957,3.05478922,4.532445206,0.862674222
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,5.892553444,3.459381422,-3.404497997,4.71381333,4.35827776,0.670558181,3.353959475,-4.479766338,-5.221035149,1.762037545,8.438333123,3.338246712,-2.622222079,6.347622035,7.551150341,-0.206754779,-4.191741627,-0.04319725,0.104575693
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Panama,PAN,5.829634587,7.141625895,5.984682428,3.307520111,0.767703646,-0.296866179,1.99409557,4.338314914,5.213962698,1.871325109,0.709781117,-1.373882584,0.264941529,2.220107188,5.476504972,5.162896882,6.629931779,9.926766132,7.854774034,-0.57934815,3.95086673,9.350391815,7.843394001,5.038254624,3.249830152,3.907928868,3.148432711,3.793677978,1.963037847,1.342886534
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Papua New Guinea,PNG,-5.543155892,6.087753139,9.840520495,13.93469666,2.131881467,-6.762898492,3.919127957,-7.285725907,-7.109685144,-1.638768931,-5.803412968,-3.454827001,-3.447749165,-1.163395423,-0.579036527,2.979565512,2.119541159,4.499463701,-3.326428164,3.594445214,6.869897321,-1.785403722,1.7897666,1.066371766,10.6123177,3.902031266,2.917343102,1.085312169,-2.571319961,2.145463386
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Paraguay,PRY,1.355337243,0.792061039,-0.896597874,2.325009421,2.761897608,4.302637511,-0.748828995,1.935515327,-2.069316536,-3.379211906,-4.178473563,-2.503241441,-1.439257091,3.020120633,2.845729149,1.004272268,3.712646975,4.375543134,5.458654921,-1.265526561,9.823414633,2.942162242,-2.038731097,6.80851345,3.830497925,1.503457647,2.792759759,3.345815987,1.795951631,-1.724202051
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Peru,PER,-7.066018542,0.074176096,-2.543927188,3.155013694,10.11038075,5.365021248,0.907659326,4.553923792,-2.138624909,-0.183045689,1.144772992,-0.724689715,4.220570171,3.075842181,3.94011216,5.328379247,6.643046878,7.686264095,8.34694304,0.387889021,7.516169673,5.432110096,5.169761905,4.8333478,1.319201257,2.048956732,2.547867082,0.985513944,2.037249793,0.306641969
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Philippines,PHL,0.685480245,-2.77521706,-1.921961462,-0.199032509,1.956091874,2.20762823,3.331902686,2.620545423,-2.882086759,0.964850758,2.094018889,0.890742891,1.598835281,2.987189615,4.472464559,2.930610289,3.350809008,4.545525134,2.41093433,-0.401300433,5.418030304,2.024219921,5.049330149,4.964801336,4.642336029,4.587218252,5.265571274,5.064393253,4.548700918,4.376525552
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Poland,POL,..,-7.344790993,2.20106585,3.474682766,5.07085552,6.957603016,6.034846978,6.379349289,4.60310921,4.66358145,5.658674595,1.286507642,2.083135916,3.568268652,5.044290879,3.552334782,6.198413684,7.119690211,4.185772086,2.762525251,3.229049129,4.985722186,1.545464342,0.917452492,3.914705633,4.452883998,2.997773055,5.126896815,5.945420508,4.475505106
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Portugal,PRT,4.177328417,4.609033561,1.168103297,-2.163020612,0.693517391,3.922373598,3.115805766,3.935797957,4.279611057,3.320509259,3.089054048,1.227263423,0.220542488,-1.301742086,1.545620102,0.595038718,1.441936413,2.305552113,0.174700555,-3.214389967,1.690928415,-1.551468317,-3.667531416,-0.377398249,1.337119967,2.214482885,2.341823216,3.759094389,3.01412373,2.658392606
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Puerto Rico,PRI,-3.701708113,1.583227814,3.891316524,3.766936257,3.222679373,3.58766391,1.172302687,3.9099388,4.925886874,4.863317331,2.98675151,6.086049154,0.78642427,-0.009183943,8.726426357,-1.845460369,-0.991029991,-0.582297438,-1.266583453,-1.416210879,0.092102072,0.80057306,1.24696939,0.842159018,0.436573539,0.706704569,0.666133348,-0.509099449,-0.409307044,1.664238799
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,-1.136390356,2.019062639,-1.17681781,14.71063896,-1.470185326,5.49322129,-2.781718211,0.360880522,0.415386597,12.3874949,7.67760832,-0.847554024,-1.177192047,-3.178365702,-3.928099196,-4.107862468,-5.732609622,-0.776739175,-0.679178215
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Romania,ROU,..,-12.15844134,-7.939239528,1.66711861,4.083147899,6.448659414,4.207522544,-4.57473043,-1.826823974,-0.220150555,2.593975232,6.696673666,7.655869434,3.081963843,11.05911322,5.316506112,8.670675853,8.829648237,11.1442089,-4.726982601,-3.328750364,5.032437581,2.379752336,0.642981501,4.511416855,3.646553566,3.449295219,8.823700768,6.653765808,4.401721366
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,-3.162835973,-5.31876191,-14.61391714,-8.619686184,-12.53978986,-4.122772365,-3.614975495,1.56770415,-5.143115362,6.729502923,10.46370916,5.546718339,5.182750238,7.787967524,7.632491182,6.806607653,8.554941475,8.685765482,5.246210018,-7.827749977,4.453096398,4.218723339,3.849151935,1.538973517,-1.045262038,-2.183885472,0.01024792,1.709385694,2.815524107,2.243979517
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Rwanda,RWA,-4.772493988,-4.672529261,3.501099582,-10.98621084,-41.58686136,60.09054132,-4.523534475,-0.27574313,5.448853974,3.114948521,7.02928178,6.98134379,11.18620986,-0.131817407,4.711812161,6.536955311,6.354797294,4.772686709,8.219957815,3.479417435,4.57249153,5.22392931,6.001713234,2.257654072,3.672777178,6.290324821,3.413249166,1.430599,5.967417432,6.874655217
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Samoa,WSM,-4.591938172,-2.598264849,-0.845340852,3.150490619,-3.524521958,5.578863273,6.080571345,-0.388133039,1.15132741,1.161398486,4.066718656,6.509151449,5.029244978,4.757964877,2.740297964,6.326566545,1.726034118,-0.09379094,2.849305251,-1.256816179,5.309181062,2.961063106,-4.593625702,-0.801457579,-0.247106676,2.924962048,6.947334634,0.387482106,-1.591222875,3.365466916
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,San Marino,SMR,..,..,..,..,..,..,..,..,5.807977088,7.368437196,0.583243559,3.600800868,-1.963040277,1.577672299,2.780788899,0.984602063,2.267035143,5.652844588,-1.563991115,-11.35752493,-7.115513727,-10.81746001,-8.831707888,-1.240034985,-1.011662587,1.739978528,1.545832734,-0.395285595,1.196757217,1.999986596
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,0.888640375,5.530033499,0.954334908,3.988165814,6.208914731,1.127399922,3.689729905,0.054920259,4.323464103,2.206358273,1.034865885,2.741292857,4.532199208,2.037437197,2.379075585,2.149746502,1.333948268,0.660539495
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Saudi Arabia,SAU,10.50403037,10.52259891,0.214230632,-4.487074101,-2.294022473,-2.553744053,-0.119749489,-1.574099104,0.208505851,-6.223430443,2.989460928,-3.619601883,-5.127991761,8.707699558,5.627150948,2.389729574,-1.201288708,-2.077052716,2.232938641,-5.657418038,1.724825325,7.300782396,3.117939638,0.543175055,1.57764616,2.121897448,-0.356957839,-2.996635225,0.098979518,-1.932448198
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Senegal,SEN,-3.567018246,-0.229978371,-1.477836955,-1.385541594,-2.665333952,2.833495451,-0.411196109,0.676342249,3.497438282,3.849657261,1.470780682,1.857485378,-2.318996909,3.028062941,2.059295773,1.692838859,-0.297866563,0.155202178,1.003708684,0.038174665,0.625915167,-1.387056834,1.205183768,-0.327534793,3.374701174,3.508054186,3.520140277,4.514110596,3.364821604,1.82926307
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Serbia,SRB,..,..,..,..,..,..,6.369582379,7.507882234,3.733553151,-9.095703514,6.471472914,7.062707322,6.47847678,4.610065843,9.28288775,5.847869868,5.521892401,6.871969801,6.10631701,-2.340928202,1.136804338,2.845009607,-0.198378899,3.39452352,-1.126397327,2.311015889,3.88118476,2.645985862,5.067594881,4.893094256
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Seychelles,SYC,6.472165963,1.400770823,6.670810954,4.006664574,-3.408236979,-2.273010598,3.389419695,10.65541765,6.303964572,-0.109436312,0.612194923,-2.356613485,-1.834808598,-4.816177606,-2.490007914,8.501897616,7.153344008,9.859154462,-4.310877765,-1.492677442,3.03727602,10.76086855,0.272336638,4.078024723,2.89189815,3.307886129,3.95321554,3.239641159,2.218749465,2.188471964
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Sierra Leone,SLE,-0.621750542,1.118056966,-17.57067811,1.513241502,-2.385137791,-8.195406643,1.210314523,-7.109069463,0.756934115,-2.530593173,4.118552789,-11.61000144,19.45672066,5.00683233,3.083639042,1.746805049,1.955655355,5.704019606,2.77326942,0.402529908,2.451945508,3.490319719,12.19215459,17.66060092,1.982214743,-22.48844836,3.520246089,1.700259801,1.046662513,2.827246529
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Singapore,SGP,5.631848024,3.695382282,3.483718244,8.675304888,7.665158475,3.968567752,3.190985139,4.739926747,-5.457986674,4.876891842,7.165988202,-3.703665952,2.979229621,6.101275546,8.572205292,4.872093269,5.648343294,4.572986271,-3.415492694,-2.846771949,12.50852155,4.023381649,1.904462237,3.133979149,2.594723155,1.762324686,2.22673004,4.568750821,3.175545099,-0.054554857
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.751509141,6.542775596,-2.13646282,-4.136775648,-1.325377725,-2.547997424,-2.376527429,-7.204621927,-7.333128945,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Slovak Republic,SVK,..,..,..,1.513091948,5.787847094,5.534214827,6.394449787,5.73044665,3.936602521,-0.207808032,1.303574953,3.442924098,4.547442893,5.568547022,5.300319492,6.613002933,8.4881893,10.79969452,5.484389094,-5.581436385,6.617228486,2.539157147,1.146520641,0.524660149,2.59757523,5.06728463,1.812607028,2.778454293,3.886398879,2.381049046
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Slovenia,SVN,..,..,..,..,..,..,3.267565163,5.191132463,3.504881831,5.257453424,3.365877567,3.054123502,3.377418071,2.898197278,4.292355219,3.618340924,5.409482633,6.383588927,3.346279544,-8.380319592,0.90277138,0.652023243,-2.84370502,-1.163520875,2.667134059,2.133258028,3.116346601,4.747106183,4.076316305,2.73324724
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Solomon Islands,SLB,-0.830018725,2.895405638,9.434832386,1.012928611,5.01007403,6.953697343,-1.25361105,-3.654443687,-1.461992825,-3.116789554,-16.41998489,-10.13377894,-5.035048501,4.108525978,5.270962148,4.976765039,1.828551806,1.341652944,3.882826826,0.558443867,7.158309775,4.844317252,-0.068203187,2.599048838,-1.353323068,-0.860529804,2.959649581,0.587961871,0.312349383,-0.623761218
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Somalia,SOM,-0.973387623,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.094889138,11.24943078,4.515795864,-1.584689373,3.715160735,3.62251847
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,-3.339621184,-3.518471297,-4.128461353,-0.586806136,1.428936716,1.416824108,2.722433879,1.187492787,-0.743024353,1.268070803,3.201510449,1.794442757,2.760877986,2.001993713,3.581230211,4.286771531,4.591102101,4.29764521,2.028404688,-2.702155972,1.817735697,1.873318226,1.04422917,1.099461735,-0.172220609,-0.757928114,-0.309171167,0.766941613,0.285735635,-0.987175237
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.428311416,0.224489691,-9.561710727,-48.3924544,9.010103006,2.384898534,-10.64207441,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Spain,ESP,3.675767951,2.285324777,0.43611499,-1.543358244,1.896906895,2.304957068,2.233853417,3.268766786,3.961965254,4.067886268,4.776400785,3.214134567,1.289977181,1.13629399,1.358648611,1.915746393,2.357772472,1.704571588,-0.709644824,-4.611747923,-0.297178904,-1.166203907,-3.021906537,-1.079741265,1.699352659,3.919117265,2.950815909,2.734475155,1.837460464,1.254631755
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Sri Lanka,LKA,5.05498097,3.347565781,3.216334432,5.778869061,4.609853503,4.641628818,3.097091968,5.808550271,4.169996069,3.748962878,5.35473355,-2.24364306,3.142506997,5.049940436,4.557881915,5.3837958,6.842908742,6.010642397,5.197557743,2.82103706,7.27905886,7.940928261,8.491217493,3.242988526,5.38986888,3.251852306,3.899189452,5.264214931,1.243075531,-0.829146715
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,St. Kitts and Nevis,KNA,5.796050156,-1.637154246,3.356301634,5.392422398,3.912772303,4.023440064,4.499449103,5.456122781,-1.778190679,1.849761884,8.503308049,4.051821918,0.758597297,-4.278920976,3.66368338,9.392290815,2.822493526,0.298896809,10.84609578,-3.64493844,-0.203231891,1.236592335,-0.821236743,5.617082837,7.527838717,0.71097596,3.934813497,0.013347388,2.103746208,4.154335148
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,St. Lucia,LCA,8.466688673,-0.992878814,6.366440897,-0.88904668,0.271903397,0.554747253,1.839009347,-1.642765859,5.33714001,1.761686848,-0.731568959,-4.066068483,-0.331402231,3.466545683,6.488892492,-1.100988221,5.503747356,1.055431321,4.290649397,-3.465681546,0.862644867,4.74197285,-0.764212229,-3.649662304,0.936936197,-1.822025304,3.288402165,2.949378819,2.461519698,-1.036802037
